epsilon, dim, number_of_threads, algo_type, id_rep, compression_ratio, space_saving, time (s)
1e-10, 32768, 1, Classic, 0, 15.4746, 0.935378, 10.0272
1e-10, 32768, 1, Classic, 1, 15.4746, 0.935378, 9.9116
1e-10, 32768, 1, Classic, 2, 15.4746, 0.935378, 9.9001
1e-10, 32768, 1, Classic, 3, 15.4746, 0.935378, 9.89133
1e-10, 32768, 1, Classic, 4, 15.4746, 0.935378, 9.89825
1e-10, 32768, 1, Classic, 5, 15.4746, 0.935378, 9.92374
1e-10, 32768, 1, Classic, 6, 15.4746, 0.935378, 9.88967
1e-10, 32768, 1, Classic, 7, 15.4746, 0.935378, 9.89073
1e-10, 32768, 1, Classic, 8, 15.4746, 0.935378, 9.89093
1e-10, 32768, 1, Classic, mean, N.A, N.A, 9.91373
1e-10, 32768, 1, Classic, stddev, N.A, N.A, 0.0440729
1e-10, 32768, 1, TaskBased, 0, 15.4746, 0.935378, 9.92825
1e-10, 32768, 1, TaskBased, 1, 15.4746, 0.935378, 9.91795
1e-10, 32768, 1, TaskBased, 2, 15.4746, 0.935378, 9.91729
1e-10, 32768, 1, TaskBased, 3, 15.4746, 0.935378, 9.91759
1e-10, 32768, 1, TaskBased, 4, 15.4746, 0.935378, 9.91726
1e-10, 32768, 1, TaskBased, 5, 15.4746, 0.935378, 9.91574
1e-10, 32768, 1, TaskBased, 6, 15.4746, 0.935378, 9.91816
1e-10, 32768, 1, TaskBased, 7, 15.4746, 0.935378, 9.92686
1e-10, 32768, 1, TaskBased, 8, 15.4746, 0.935378, 9.9172
1e-10, 32768, 1, TaskBased, mean, N.A, N.A, 9.91959
1e-10, 32768, 1, TaskBased, stddev, N.A, N.A, 0.00457979
1e-10, 65536, 1, Classic, 0, 27.2031, 0.963239, 23.3541
1e-10, 65536, 1, Classic, 1, 27.2031, 0.963239, 23.3207
1e-10, 65536, 1, Classic, 2, 27.2031, 0.963239, 23.3097
1e-10, 65536, 1, Classic, 3, 27.2031, 0.963239, 23.3096
1e-10, 65536, 1, Classic, 4, 27.2031, 0.963239, 23.3076
1e-10, 65536, 1, Classic, 5, 27.2031, 0.963239, 23.3212
1e-10, 65536, 1, Classic, 6, 27.2031, 0.963239, 23.3052
1e-10, 65536, 1, Classic, 7, 27.2031, 0.963239, 23.3207
1e-10, 65536, 1, Classic, 8, 27.2031, 0.963239, 23.3077
1e-10, 65536, 1, Classic, mean, N.A, N.A, 23.3174
1e-10, 65536, 1, Classic, stddev, N.A, N.A, 0.0151689
1e-10, 65536, 1, TaskBased, 0, 27.2031, 0.963239, 23.364
