epsilon, dim, number_of_threads, algo_type, id_rep, compression_ratio, space_saving, time (s) 
1e-10, 32768, 1, Classic, 0, 15.4746, 0.935378, 2.38746
1e-10, 32768, 1, Classic, 1, 15.4746, 0.935378, 2.2279
1e-10, 32768, 1, Classic, 2, 15.4746, 0.935378, 2.21804
1e-10, 32768, 1, Classic, 3, 15.4746, 0.935378, 2.21604
1e-10, 32768, 1, Classic, 4, 15.4746, 0.935378, 2.21703
1e-10, 32768, 1, Classic, 5, 15.4746, 0.935378, 2.2144
1e-10, 32768, 1, Classic, 6, 15.4746, 0.935378, 2.21778
1e-10, 32768, 1, Classic, 7, 15.4746, 0.935378, 2.21508
1e-10, 32768, 1, Classic, 8, 15.4746, 0.935378, 2.21657
1e-10, 32768, 1, Classic, mean, N.A, N.A, 2.2367
1e-10, 32768, 1, Classic, stddev, N.A, N.A, 0.0566748
1e-10, 32768, 1, TaskBased, 0, 15.4746, 0.935378, 2.22089
1e-10, 32768, 1, TaskBased, 1, 15.4746, 0.935378, 2.21808
1e-10, 32768, 1, TaskBased, 2, 15.4746, 0.935378, 2.21782
1e-10, 32768, 1, TaskBased, 3, 15.4746, 0.935378, 2.21825
1e-10, 32768, 1, TaskBased, 4, 15.4746, 0.935378, 2.22002
1e-10, 32768, 1, TaskBased, 5, 15.4746, 0.935378, 2.21849
1e-10, 32768, 1, TaskBased, 6, 15.4746, 0.935378, 2.21776
1e-10, 32768, 1, TaskBased, 7, 15.4746, 0.935378, 2.22005
1e-10, 32768, 1, TaskBased, 8, 15.4746, 0.935378, 2.21893
1e-10, 32768, 1, TaskBased, mean, N.A, N.A, 2.21892
1e-10, 32768, 1, TaskBased, stddev, N.A, N.A, 0.00113133
1e-10, 65536, 2, Classic, 0, 27.2031, 0.963239, 2.79559
1e-10, 65536, 2, Classic, 1, 27.2031, 0.963239, 2.65508
1e-10, 65536, 2, Classic, 2, 27.2031, 0.963239, 2.63413
1e-10, 65536, 2, Classic, 3, 27.2031, 0.963239, 2.63273
1e-10, 65536, 2, Classic, 4, 27.2031, 0.963239, 2.72779
1e-10, 65536, 2, Classic, 5, 27.2031, 0.963239, 2.6587
