epsilon, dim, number_of_threads, algo_type, id_rep, compression_ratio, space_saving, time (s)
1e-10, 524288, 1, Classic, 0, 158.122, 0.993676, 61.827
1e-10, 524288, 1, Classic, 1, 158.122, 0.993676, 61.4149
1e-10, 524288, 1, Classic, 2, 158.122, 0.993676, 61.4262
1e-10, 524288, 1, Classic, 3, 158.122, 0.993676, 61.9203
1e-10, 524288, 1, Classic, 4, 158.122, 0.993676, 61.7782
1e-10, 524288, 1, Classic, 5, 158.122, 0.993676, 61.7234
1e-10, 524288, 1, Classic, 6, 158.122, 0.993676, 61.6792
1e-10, 524288, 1, Classic, 7, 158.122, 0.993676, 61.6293
1e-10, 524288, 1, Classic, 8, 158.122, 0.993676, 61.5562
1e-10, 524288, 1, Classic, mean, N.A, N.A, 61.6616
1e-10, 524288, 1, Classic, stddev, N.A, N.A, 0.17335
1e-10, 524288, 2, Classic, 0, 158.122, 0.993676, 31.5085
1e-10, 524288, 2, Classic, 1, 158.122, 0.993676, 31.2715
1e-10, 524288, 2, Classic, 2, 158.122, 0.993676, 31.2179
1e-10, 524288, 2, Classic, 3, 158.122, 0.993676, 31.2347
1e-10, 524288, 2, Classic, 4, 158.122, 0.993676, 31.3494
1e-10, 524288, 2, Classic, 5, 158.122, 0.993676, 31.3065
1e-10, 524288, 2, Classic, 6, 158.122, 0.993676, 31.2846
1e-10, 524288, 2, Classic, 7, 158.122, 0.993676, 31.3143
1e-10, 524288, 2, Classic, 8, 158.122, 0.993676, 31.3915
1e-10, 524288, 2, Classic, mean, N.A, N.A, 31.3199
1e-10, 524288, 2, Classic, stddev, N.A, N.A, 0.0887736
1e-10, 524288, 4, Classic, 0, 158.122, 0.993676, 17.2897
1e-10, 524288, 4, Classic, 1, 158.122, 0.993676, 16.4578
1e-10, 524288, 4, Classic, 2, 158.122, 0.993676, 16.2807
1e-10, 524288, 4, Classic, 3, 158.122, 0.993676, 16.1958
1e-10, 524288, 4, Classic, 4, 158.122, 0.993676, 16.2508
1e-10, 524288, 4, Classic, 5, 158.122, 0.993676, 15.9289
1e-10, 524288, 4, Classic, 6, 158.122, 0.993676, 16.1497
1e-10, 524288, 4, Classic, 7, 158.122, 0.993676, 16.0801
1e-10, 524288, 4, Classic, 8, 158.122, 0.993676, 15.8822
1e-10, 524288, 4, Classic, mean, N.A, N.A, 16.2795
1e-10, 524288, 4, Classic, stddev, N.A, N.A, 0.417942
1e-10, 524288, 8, Classic, 0, 158.122, 0.993676, 14.8327
1e-10, 524288, 8, Classic, 1, 158.122, 0.993676, 16.1709
1e-10, 524288, 8, Classic, 2, 158.122, 0.993676, 15.2366
1e-10, 524288, 8, Classic, 3, 158.122, 0.993676, 14.9416
1e-10, 524288, 8, Classic, 4, 158.122, 0.993676, 14.2361
1e-10, 524288, 8, Classic, 5, 158.122, 0.993676, 14.3566
1e-10, 524288, 8, Classic, 6, 158.122, 0.993676, 14.222
1e-10, 524288, 8, Classic, 7, 158.122, 0.993676, 14.7644
1e-10, 524288, 8, Classic, 8, 158.122, 0.993676, 14.5687
1e-10, 524288, 8, Classic, mean, N.A, N.A, 14.8144
1e-10, 524288, 8, Classic, stddev, N.A, N.A, 0.611623
1e-10, 524288, 16, Classic, 0, 158.122, 0.993676, 14.4415
1e-10, 524288, 16, Classic, 1, 158.122, 0.993676, 15.3041
1e-10, 524288, 16, Classic, 2, 158.122, 0.993676, 14.3188
1e-10, 524288, 16, Classic, 3, 158.122, 0.993676, 15.241
1e-10, 524288, 16, Classic, 4, 158.122, 0.993676, 14.664
1e-10, 524288, 16, Classic, 5, 158.122, 0.993676, 14.349
1e-10, 524288, 16, Classic, 6, 158.122, 0.993676, 14.0624
1e-10, 524288, 16, Classic, 7, 158.122, 0.993676, 14.662
1e-10, 524288, 16, Classic, 8, 158.122, 0.993676, 15.905
1e-10, 524288, 16, Classic, mean, N.A, N.A, 14.772
1e-10, 524288, 16, Classic, stddev, N.A, N.A, 0.592422
1e-10, 524288, 1, TaskBased, 0, 158.122, 0.993676, 62.0224
1e-10, 524288, 1, TaskBased, 1, 158.122, 0.993676, 62.1528
1e-10, 524288, 1, TaskBased, 2, 158.122, 0.993676, 62.0137
1e-10, 524288, 1, TaskBased, 3, 158.122, 0.993676, 61.8884
1e-10, 524288, 1, TaskBased, 4, 158.122, 0.993676, 61.892
1e-10, 524288, 1, TaskBased, 5, 158.122, 0.993676, 61.9402
1e-10, 524288, 1, TaskBased, 6, 158.122, 0.993676, 61.9405
1e-10, 524288, 1, TaskBased, 7, 158.122, 0.993676, 61.865
1e-10, 524288, 1, TaskBased, 8, 158.122, 0.993676, 61.9439
1e-10, 524288, 1, TaskBased, mean, N.A, N.A, 61.9621
1e-10, 524288, 1, TaskBased, stddev, N.A, N.A, 0.0892296
1e-10, 524288, 2, TaskBased, 0, 158.122, 0.993676, 31.8217
1e-10, 524288, 2, TaskBased, 1, 158.122, 0.993676, 31.0319
1e-10, 524288, 2, TaskBased, 2, 158.122, 0.993676, 31.1174
1e-10, 524288, 2, TaskBased, 3, 158.122, 0.993676, 31.0991
1e-10, 524288, 2, TaskBased, 4, 158.122, 0.993676, 31.2905
1e-10, 524288, 2, TaskBased, 5, 158.122, 0.993676, 31.3739
1e-10, 524288, 2, TaskBased, 6, 158.122, 0.993676, 31.5823
1e-10, 524288, 2, TaskBased, 7, 158.122, 0.993676, 31.3528
1e-10, 524288, 2, TaskBased, 8, 158.122, 0.993676, 31.3618
1e-10, 524288, 2, TaskBased, mean, N.A, N.A, 31.3368
1e-10, 524288, 2, TaskBased, stddev, N.A, N.A, 0.249341
1e-10, 524288, 4, TaskBased, 0, 158.122, 0.993676, 17.4042
1e-10, 524288, 4, TaskBased, 1, 158.122, 0.993676, 17.2349
1e-10, 524288, 4, TaskBased, 2, 158.122, 0.993676, 16.8573
1e-10, 524288, 4, TaskBased, 3, 158.122, 0.993676, 16.6699
1e-10, 524288, 4, TaskBased, 4, 158.122, 0.993676, 16.5618
1e-10, 524288, 4, TaskBased, 5, 158.122, 0.993676, 16.4784
1e-10, 524288, 4, TaskBased, 6, 158.122, 0.993676, 17.2885
1e-10, 524288, 4, TaskBased, 7, 158.122, 0.993676, 16.6902
1e-10, 524288, 4, TaskBased, 8, 158.122, 0.993676, 16.7771
1e-10, 524288, 4, TaskBased, mean, N.A, N.A, 16.8847
1e-10, 524288, 4, TaskBased, stddev, N.A, N.A, 0.33936
1e-10, 524288, 8, TaskBased, 0, 158.122, 0.993676, 12.0761
1e-10, 524288, 8, TaskBased, 1, 158.122, 0.993676, 11.4375
