epsilon, dim, number_of_threads, algo_type, symmetry_type, id_rep, compression_ratio, space_saving, factorization_time (s), solve_time (s) 
1e-10, 16384, 1, Classic, S, 0, 9.61833, 0.896032, 21.8348, 1.76265
1e-10, 16384, 1, Classic, S, 1, 11.1733, 0.910501, 21.4592, 1.76369
1e-10, 16384, 1, Classic, S, mean, 10.3958, 0.903266, 21.647, 1.76317
1e-10, 16384, 1, Classic, S, std_dev, 1.09954, 0.0102311, 0.265594, 0.00073924
1e-10, 16384, 1, TaskBased, S, 0, 9.61833, 0.896032, 22.5474, 4.97303
1e-10, 16384, 1, TaskBased, S, 1, 11.1733, 0.910501, 20.3594, 1.68704
1e-10, 16384, 1, TaskBased, S, mean, 10.3958, 0.903266, 21.4534, 3.33003
1e-10, 16384, 1, TaskBased, S, std_dev, 1.09954, 0.0102311, 1.54712, 2.32354
1e-10, 32768, 1, Classic, S, 0, 16.4996, 0.939392, 53.6889, 4.07537
1e-10, 32768, 1, Classic, S, 1, 19.3833, 0.948409, 53.97, 4.11907
1e-10, 32768, 1, Classic, S, mean, 17.9414, 0.943901, 53.8294, 4.09722
1e-10, 32768, 1, Classic, S, std_dev, 2.03909, 0.00637598, 0.198788, 0.0308991
1e-10, 32768, 1, TaskBased, S, 0, 16.4996, 0.939392, 55.1301, 12.6688
1e-10, 32768, 1, TaskBased, S, 1, 19.3833, 0.948409, 52.9579, 4.02029
1e-10, 32768, 1, TaskBased, S, mean, 17.9414, 0.943901, 54.044, 8.34453
1e-10, 32768, 1, TaskBased, S, std_dev, 2.03906, 0.00637598, 1.53599, 6.1154
1e-10, 65536, 1, Classic, S, 0, 28.4269, 0.964822, 139.342, 9.12262
1e-10, 65536, 1, Classic, S, 1, 33.7363, 0.970358, 142.86, 9.37929
1e-10, 65536, 1, Classic, S, mean, 31.0816, 0.96759, 141.101, 9.25095
1e-10, 65536, 1, Classic, S, std_dev, 3.75433, 0.00391454, 2.4882, 0.181493
1e-10, 65536, 1, TaskBased, S, 0, 28.4269, 0.964822, 139.819, 26.2257
1e-10, 65536, 1, TaskBased, S, 1, 33.7362, 0.970358, 143.491, 10.0699
1e-10, 65536, 1, TaskBased, S, mean, 31.0816, 0.96759, 141.655, 18.1478
1e-10, 65536, 1, TaskBased, S, std_dev, 3.75428, 0.00391454, 2.5968, 11.4239
1e-10, 131072, 1, Classic, S, 0, 52.3498, 0.980898, 303.106, 20.642
1e-10, 131072, 1, Classic, S, 1, 62.1857, 0.983919, 322.302, 22.5029
1e-10, 131072, 1, Classic, S, mean, 57.2678, 0.982409, 312.704, 21.5725
1e-10, 131072, 1, Classic, S, std_dev, 6.955, 0.00213617, 13.5734, 1.31586
1e-10, 131072, 1, TaskBased, S, 0, 52.3498, 0.980898, 305.887, 58.0087
1e-10, 131072, 1, TaskBased, S, 1, 62.1857, 0.983919, 316.736, 21.2167
1e-10, 131072, 1, TaskBased, S, mean, 57.2678, 0.982409, 311.311, 39.6127
1e-10, 131072, 1, TaskBased, S, std_dev, 6.955, 0.00213617, 7.67093, 26.0159
1e-10, 262144, 1, Classic, S, 0, 91.8486, 0.989113, 809.397, 48.1596
1e-10, 262144, 1, Classic, S, 1, 110.133, 0.99092, 883.413, 51.846
1e-10, 262144, 1, Classic, S, mean, 100.991, 0.990017, 846.405, 50.0028
1e-10, 262144, 1, Classic, S, std_dev, 12.9291, 0.00127774, 52.3373, 2.60669
1e-10, 262144, 1, TaskBased, S, 0, 91.8486, 0.989113, 823.041, 132.3
1e-10, 262144, 1, TaskBased, S, 1, 110.133, 0.99092, 876.111, 50.059
1e-10, 262144, 1, TaskBased, S, mean, 100.991, 0.990017, 849.576, 91.1798
1e-10, 262144, 1, TaskBased, S, std_dev, 12.9291, 0.00127774, 37.526, 58.1535
1e-07, 16384, 1, Classic, S, 0, 15.1259, 0.933888, 12.4383, 1.17611
1e-07, 16384, 1, Classic, S, 1, 18.4997, 0.945945, 12.1068, 1.16862
1e-07, 16384, 1, Classic, S, mean, 16.8128, 0.939917, 12.2725, 1.17236
1e-07, 16384, 1, Classic, S, std_dev, 2.38563, 0.00852559, 0.234371, 0.00529815
1e-07, 16384, 1, TaskBased, S, 0, 15.1259, 0.933888, 12.1098, 3.07499
1e-07, 16384, 1, TaskBased, S, 1, 18.4851, 0.945902, 11.2135, 1.07232
1e-07, 16384, 1, TaskBased, S, mean, 16.8055, 0.939895, 11.6616, 2.07365
1e-07, 16384, 1, TaskBased, S, std_dev, 2.37531, 0.00849518, 0.633809, 1.41611
1e-07, 32768, 1, Classic, S, 0, 26.3227, 0.96201, 29.767, 2.62031
