epsilon, dim, number_of_threads, algo_type, symmetry_type, id_rep, compression_ratio, space_saving, factorization_time (s), solve_time (s) 
1e-10, 16384, 1, Classic, N, 0, 4.81058, 0.792125, 42.6434, 1.94826
1e-10, 16384, 1, Classic, N, 1, 5.58765, 0.821034, 41.4565, 2.10834
1e-10, 16384, 1, Classic, N, mean, 5.19911, 0.80658, 42.0499, 2.0283
1e-10, 16384, 1, Classic, N, std_dev, 0.549475, 0.0204417, 0.839294, 0.113194
1e-10, 16384, 1, TaskBased, N, 0, 4.81058, 0.792125, 42.6858, 5.27602
1e-10, 16384, 1, TaskBased, N, 1, 5.58762, 0.821033, 39.5147, 1.87577
1e-10, 16384, 1, TaskBased, N, mean, 5.1991, 0.806579, 41.1002, 3.57589
1e-10, 16384, 1, TaskBased, N, std_dev, 0.549454, 0.020441, 2.24232, 2.40435
1e-10, 32768, 1, Classic, N, 0, 8.25187, 0.878815, 105.4, 4.69101
1e-10, 32768, 1, Classic, N, 1, 9.6955, 0.896859, 103.463, 4.95181
1e-10, 32768, 1, Classic, N, mean, 8.97369, 0.887837, 104.432, 4.82141
1e-10, 32768, 1, Classic, N, std_dev, 1.0208, 0.012759, 1.37008, 0.184411
1e-10, 32768, 1, TaskBased, N, 0, 8.25187, 0.878815, 105.234, 12.2929
1e-10, 32768, 1, TaskBased, N, 1, 9.69546, 0.896859, 100.663, 4.3737
1e-10, 32768, 1, TaskBased, N, mean, 8.97367, 0.887837, 102.949, 8.33332
1e-10, 32768, 1, TaskBased, N, std_dev, 1.02077, 0.012759, 3.23224, 5.59975
1e-10, 65536, 1, Classic, N, 0, 14.2165, 0.929659, 275.496, 10.4776
1e-10, 65536, 1, Classic, N, 1, 16.8745, 0.940739, 271.612, 11.8638
1e-10, 65536, 1, Classic, N, mean, 15.5455, 0.935199, 273.554, 11.1707
1e-10, 65536, 1, Classic, N, std_dev, 1.87944, 0.00783474, 2.7463, 0.98019
1e-10, 65536, 1, TaskBased, N, 0, 14.2165, 0.929659, 278.685, 31.0371
1e-10, 65536, 1, TaskBased, N, 1, 16.8744, 0.940739, 269.312, 10.3315
1e-10, 65536, 1, TaskBased, N, mean, 15.5455, 0.935199, 273.999, 20.6843
1e-10, 65536, 1, TaskBased, N, std_dev, 1.87942, 0.00783474, 6.6277, 14.641
1e-10, 131072, 1, Classic, N, 0, 26.1801, 0.961803, 597.192, 24.0649
1e-10, 131072, 1, Classic, N, 1, 31.1041, 0.96785, 599.389, 28.2232
1e-10, 131072, 1, Classic, N, mean, 28.6421, 0.964827, 598.29, 26.144
1e-10, 131072, 1, Classic, N, std_dev, 3.48177, 0.00427587, 1.55368, 2.94035
1e-10, 131072, 1, TaskBased, N, 0, 26.1801, 0.961803, 600.018, 60.575
1e-10, 131072, 1, TaskBased, N, 1, 31.1041, 0.96785, 588.754, 23.5793
1e-10, 131072, 1, TaskBased, N, mean, 28.6421, 0.964827, 594.386, 42.0772
1e-10, 131072, 1, TaskBased, N, std_dev, 3.48177, 0.00427587, 7.96438, 26.1599
1e-10, 262144, 1, Classic, N, 0, 45.9324, 0.978229, 1600.94, 55.2428
1e-10, 262144, 1, Classic, N, 1, 55.0869, 0.981847, 1626.71, 68.169
1e-10, 262144, 1, Classic, N, mean, 50.5096, 0.980038, 1613.82, 61.7059
1e-10, 262144, 1, Classic, N, std_dev, 6.47322, 0.00255831, 18.2234, 9.14016
1e-10, 262144, 1, TaskBased, N, 0, 45.9324, 0.978229, 1624.42, 134.712
1e-10, 262144, 1, TaskBased, N, 1, 55.0869, 0.981847, 1606.58, 56.5012
1e-10, 262144, 1, TaskBased, N, mean, 50.5096, 0.980038, 1615.5, 95.6064
1e-10, 262144, 1, TaskBased, N, std_dev, 6.47322, 0.00255831, 12.615, 55.3031
1e-07, 16384, 1, Classic, N, 0, 7.56644, 0.867837, 24.5962, 1.26454
1e-07, 16384, 1, Classic, N, 1, 9.25229, 0.891919, 23.9586, 1.26674
1e-07, 16384, 1, Classic, N, mean, 8.40936, 0.879878, 24.2774, 1.26564
1e-07, 16384, 1, Classic, N, std_dev, 1.19208, 0.0170285, 0.450797, 0.00155376
1e-07, 16384, 1, TaskBased, N, 0, 7.56644, 0.867837, 24.0999, 3.26574
1e-07, 16384, 1, TaskBased, N, 1, 9.24487, 0.891832, 22.3397, 1.15937
1e-07, 16384, 1, TaskBased, N, mean, 8.40565, 0.879834, 23.2198, 2.21256
1e-07, 16384, 1, TaskBased, N, std_dev, 1.18683, 0.016967, 1.24465, 1.48942
1e-07, 32768, 1, Classic, N, 0, 13.1667, 0.924051, 58.8798, 2.79745
1e-07, 32768, 1, Classic, N, 1, 16.3864, 0.938974, 57.6783, 2.86209
1e-07, 32768, 1, Classic, N, mean, 14.7765, 0.931512, 58.279, 2.82977
1e-07, 32768, 1, Classic, N, std_dev, 2.27669, 0.0105522, 0.849631, 0.0457087
1e-07, 32768, 1, TaskBased, N, 0, 13.1667, 0.924051, 58.2405, 7.33057
1e-07, 32768, 1, TaskBased, N, 1, 16.3786, 0.938945, 54.7805, 2.56478
1e-07, 32768, 1, TaskBased, N, mean, 14.7726, 0.931498, 56.5105, 4.94768
1e-07, 32768, 1, TaskBased, N, std_dev, 2.27121, 0.0105316, 2.44658, 3.36992
1e-07, 65536, 1, Classic, N, 0, 23.0729, 0.956659, 147.509, 6.4103
1e-07, 65536, 1, Classic, N, 1, 28.9652, 0.965476, 145.141, 6.54191
1e-07, 65536, 1, Classic, N, mean, 26.0191, 0.961067, 146.325, 6.47611
1e-07, 65536, 1, Classic, N, std_dev, 4.16646, 0.00623456, 1.67436, 0.0930611
1e-07, 65536, 1, TaskBased, N, 0, 23.0729, 0.956659, 147.547, 16.7591
1e-07, 65536, 1, TaskBased, N, 1, 28.9602, 0.96547, 140.006, 5.93564
1e-07, 65536, 1, TaskBased, N, mean, 26.0166, 0.961064, 143.777, 11.3474
1e-07, 65536, 1, TaskBased, N, std_dev, 4.16294, 0.00623032, 5.33215, 7.65334
1e-07, 131072, 1, Classic, N, 0, 42.8567, 0.976666, 310.834, 12.9367
1e-07, 131072, 1, Classic, N, 1, 54.0588, 0.981502, 304.589, 13.781
1e-07, 131072, 1, Classic, N, mean, 48.4578, 0.979084, 307.711, 13.3588
1e-07, 131072, 1, Classic, N, std_dev, 7.92104, 0.00341957, 4.41581, 0.596989
1e-07, 131072, 1, TaskBased, N, 0, 42.8567, 0.976666, 309.97, 33.9606
1e-07, 131072, 1, TaskBased, N, 1, 54.0583, 0.981501, 296.469, 12.0614
1e-07, 131072, 1, TaskBased, N, mean, 48.4575, 0.979083, 303.219, 23.011
1e-07, 131072, 1, TaskBased, N, std_dev, 7.92072, 0.00341886, 9.54669, 15.4851
1e-07, 262144, 1, Classic, N, 0, 75.4749, 0.986751, 804.972, 29.6242
1e-07, 262144, 1, Classic, N, 1, 96.4198, 0.989629, 800.003, 33.7633
1e-07, 262144, 1, Classic, N, mean, 85.9473, 0.98819, 802.487, 31.6937
1e-07, 262144, 1, Classic, N, std_dev, 14.8103, 0.00203505, 3.51336, 2.92678
1e-07, 262144, 1, TaskBased, N, 0, 75.4749, 0.986751, 816.612, 74.9828
1e-07, 262144, 1, TaskBased, N, 1, 96.412, 0.989628, 782.643, 28.7619
1e-07, 262144, 1, TaskBased, N, mean, 85.9434, 0.98819, 799.628, 51.8723
1e-07, 262144, 1, TaskBased, N, std_dev, 14.8048, 0.00203435, 24.0195, 32.6831
0.0001, 16384, 1, Classic, N, 0, 14.132, 0.929239, 13.0404, 0.787595
0.0001, 16384, 1, Classic, N, 1, 19.5666, 0.948893, 12.556, 0.793623
0.0001, 16384, 1, Classic, N, mean, 16.8493, 0.939066, 12.7982, 0.790609
0.0001, 16384, 1, Classic, N, std_dev, 3.84288, 0.0138975, 0.342503, 0.00426231
0.0001, 16384, 1, TaskBased, N, 0, 14.132, 0.929239, 12.763, 1.71538
0.0001, 16384, 1, TaskBased, N, 1, 18.918, 0.94714, 9.12868, 0.675731
0.0001, 16384, 1, TaskBased, N, mean, 16.525, 0.93819, 10.9459, 1.19555
0.0001, 16384, 1, TaskBased, N, std_dev, 3.3842, 0.0126579, 2.56986, 0.735141
