epsilon, dim, number_of_threads, algo_type, id_rep, compression_ratio, space_saving, time (s) 
1e-10, 32768, 1, Classic, 0, 15.4746, 0.935378, 3.7064
1e-10, 32768, 1, Classic, 1, 15.4746, 0.935378, 3.2462
1e-10, 32768, 1, Classic, 2, 15.4746, 0.935378, 3.17396
1e-10, 32768, 1, Classic, 3, 15.4746, 0.935378, 3.17579
1e-10, 32768, 1, Classic, 4, 15.4746, 0.935378, 3.16749
1e-10, 32768, 1, Classic, 5, 15.4746, 0.935378, 3.16853
1e-10, 32768, 1, Classic, 6, 15.4746, 0.935378, 3.13931
1e-10, 32768, 1, Classic, 7, 15.4746, 0.935378, 3.1703
1e-10, 32768, 1, Classic, 8, 15.4746, 0.935378, 3.16677
1e-10, 32768, 1, Classic, mean, 15.4746, 0.935378, 3.23497
1e-10, 32768, 1, Classic, stddev, 3.76822e-15, 0, 0.179076
1e-10, 32768, 1, TaskBased, 0, 15.4746, 0.935378, 3.14119
1e-10, 32768, 1, TaskBased, 1, 15.4746, 0.935378, 3.13474
1e-10, 32768, 1, TaskBased, 2, 15.4746, 0.935378, 3.17153
1e-10, 32768, 1, TaskBased, 3, 15.4746, 0.935378, 3.13736
1e-10, 32768, 1, TaskBased, 4, 15.4746, 0.935378, 3.16812
1e-10, 32768, 1, TaskBased, 5, 15.4746, 0.935378, 3.13357
1e-10, 32768, 1, TaskBased, 6, 15.4746, 0.935378, 3.14135
1e-10, 32768, 1, TaskBased, 7, 15.4746, 0.935378, 3.13889
1e-10, 32768, 1, TaskBased, 8, 15.4746, 0.935378, 3.13371
1e-10, 32768, 1, TaskBased, mean, 15.4746, 0.935378, 3.1445
1e-10, 32768, 1, TaskBased, stddev, 3.76822e-15, 0, 0.0146761
1e-10, 65536, 1, Classic, 0, 27.2031, 0.963239, 7.19366
1e-10, 65536, 1, Classic, 1, 27.2031, 0.963239, 7.22456
1e-10, 65536, 1, Classic, 2, 27.2031, 0.963239, 7.2192
1e-10, 65536, 1, Classic, 3, 27.2031, 0.963239, 7.22498
1e-10, 65536, 1, Classic, 4, 27.2031, 0.963239, 7.18691
1e-10, 65536, 1, Classic, 5, 27.2031, 0.963239, 7.20496
1e-10, 65536, 1, Classic, 6, 27.2031, 0.963239, 7.20029
1e-10, 65536, 1, Classic, 7, 27.2031, 0.963239, 7.19902
1e-10, 65536, 1, Classic, 8, 27.2031, 0.963239, 7.19546
1e-10, 65536, 1, Classic, mean, 27.2031, 0.963239, 7.20545
1e-10, 65536, 1, Classic, stddev, 3.76822e-15, 0, 0.0140812
1e-10, 65536, 1, TaskBased, 0, 27.2031, 0.963239, 7.21937
1e-10, 65536, 1, TaskBased, 1, 27.2031, 0.963239, 7.22067
1e-10, 65536, 1, TaskBased, 2, 27.2031, 0.963239, 7.18288
1e-10, 65536, 1, TaskBased, 3, 27.2031, 0.963239, 7.21672
1e-10, 65536, 1, TaskBased, 4, 27.2031, 0.963239, 7.22025
1e-10, 65536, 1, TaskBased, 5, 27.2031, 0.963239, 7.21185
1e-10, 65536, 1, TaskBased, 6, 27.2031, 0.963239, 7.1854
1e-10, 65536, 1, TaskBased, 7, 27.2031, 0.963239, 7.22155
1e-10, 65536, 1, TaskBased, 8, 27.2031, 0.963239, 7.21851
1e-10, 65536, 1, TaskBased, mean, 27.2031, 0.963239, 7.2108
1e-10, 65536, 1, TaskBased, stddev, 3.76822e-15, 0, 0.0153932
1e-10, 131072, 1, Classic, 0, 48.939, 0.979566, 16.0459
1e-10, 131072, 1, Classic, 1, 48.939, 0.979566, 15.9872
1e-10, 131072, 1, Classic, 2, 48.939, 0.979566, 16.0159
1e-10, 131072, 1, Classic, 3, 48.939, 0.979566, 15.9791
1e-10, 131072, 1, Classic, 4, 48.939, 0.979566, 15.9826
1e-10, 131072, 1, Classic, 5, 48.939, 0.979566, 15.992
1e-10, 131072, 1, Classic, 6, 48.939, 0.979566, 16.0612
1e-10, 131072, 1, Classic, 7, 48.939, 0.979566, 16.0215
1e-10, 131072, 1, Classic, 8, 48.939, 0.979566, 15.9763
1e-10, 131072, 1, Classic, mean, 48.939, 0.979566, 16.0069
1e-10, 131072, 1, Classic, stddev, 7.53644e-15, 1.17757e-16, 0.0309687
1e-10, 131072, 1, TaskBased, 0, 48.939, 0.979566, 16.0229
1e-10, 131072, 1, TaskBased, 1, 48.939, 0.979566, 16.0057
1e-10, 131072, 1, TaskBased, 2, 48.939, 0.979566, 16.0169
1e-10, 131072, 1, TaskBased, 3, 48.939, 0.979566, 15.9711
1e-10, 131072, 1, TaskBased, 4, 48.939, 0.979566, 15.996
1e-10, 131072, 1, TaskBased, 5, 48.939, 0.979566, 15.9885
1e-10, 131072, 1, TaskBased, 6, 48.939, 0.979566, 15.9337
1e-10, 131072, 1, TaskBased, 7, 48.939, 0.979566, 15.9712
1e-10, 131072, 1, TaskBased, 8, 48.939, 0.979566, 16.0189
1e-10, 131072, 1, TaskBased, mean, 48.939, 0.979566, 15.9917
1e-10, 131072, 1, TaskBased, stddev, 7.53644e-15, 1.17757e-16, 0.0291059
1e-10, 262144, 1, Classic, 0, 87.2301, 0.988536, 35.9014
1e-10, 262144, 1, Classic, 1, 87.2301, 0.988536, 35.832
1e-10, 262144, 1, Classic, 2, 87.2301, 0.988536, 35.8642
1e-10, 262144, 1, Classic, 3, 87.2301, 0.988536, 35.8253
1e-10, 262144, 1, Classic, 4, 87.2301, 0.988536, 35.8069
1e-10, 262144, 1, Classic, 5, 87.2301, 0.988536, 36.1137
1e-10, 262144, 1, Classic, 6, 87.2301, 0.988536, 36.0458
1e-10, 262144, 1, Classic, 7, 87.2301, 0.988536, 36.1144
1e-10, 262144, 1, Classic, 8, 87.2301, 0.988536, 36.0073
1e-10, 262144, 1, Classic, mean, 87.2301, 0.988536, 35.9457
1e-10, 262144, 1, Classic, stddev, 0, 1.17757e-16, 0.125389
1e-10, 262144, 1, TaskBased, 0, 87.2301, 0.988536, 35.9999
1e-10, 262144, 1, TaskBased, 1, 87.2301, 0.988536, 36.0579
1e-10, 262144, 1, TaskBased, 2, 87.2301, 0.988536, 35.9526
1e-10, 262144, 1, TaskBased, 3, 87.2301, 0.988536, 36.0182
1e-10, 262144, 1, TaskBased, 4, 87.2301, 0.988536, 35.9425
1e-10, 262144, 1, TaskBased, 5, 87.2301, 0.988536, 35.9121
1e-10, 262144, 1, TaskBased, 6, 87.2301, 0.988536, 36.0551
1e-10, 262144, 1, TaskBased, 7, 87.2301, 0.988536, 35.9052
1e-10, 262144, 1, TaskBased, 8, 87.2301, 0.988536, 35.995
1e-10, 262144, 1, TaskBased, mean, 87.2301, 0.988536, 35.982
1e-10, 262144, 1, TaskBased, stddev, 0, 1.17757e-16, 0.0571392
1e-10, 524288, 1, Classic, 0, 158.122, 0.993676, 79.6336
1e-10, 524288, 1, Classic, 1, 158.122, 0.993676, 79.086
1e-10, 524288, 1, Classic, 2, 158.122, 0.993676, 80.6022
1e-10, 524288, 1, Classic, 3, 158.122, 0.993676, 80.6257
1e-10, 524288, 1, Classic, 4, 158.122, 0.993676, 80.5426
1e-10, 524288, 1, Classic, 5, 158.122, 0.993676, 80.6317
1e-10, 524288, 1, Classic, 6, 158.122, 0.993676, 80.6228
1e-10, 524288, 1, Classic, 7, 158.122, 0.993676, 80.53
1e-10, 524288, 1, Classic, 8, 158.122, 0.993676, 80.6297
1e-10, 524288, 1, Classic, mean, 158.122, 0.993676, 80.3227
1e-10, 524288, 1, Classic, stddev, 0, 1.17757e-16, 0.564071
1e-10, 524288, 1, TaskBased, 0, 158.122, 0.993676, 80.5733
1e-10, 524288, 1, TaskBased, 1, 158.122, 0.993676, 80.487
1e-10, 524288, 1, TaskBased, 2, 158.122, 0.993676, 80.5931
1e-10, 524288, 1, TaskBased, 3, 158.122, 0.993676, 80.5643
1e-10, 524288, 1, TaskBased, 4, 158.122, 0.993676, 80.5098
1e-10, 524288, 1, TaskBased, 5, 158.122, 0.993676, 80.5614
1e-10, 524288, 1, TaskBased, 6, 158.122, 0.993676, 80.5903
1e-10, 524288, 1, TaskBased, 7, 158.122, 0.993676, 80.4817
1e-10, 524288, 1, TaskBased, 8, 158.122, 0.993676, 80.5745
1e-10, 524288, 1, TaskBased, mean, 158.122, 0.993676, 80.5484
1e-10, 524288, 1, TaskBased, stddev, 0, 1.17757e-16, 0.0435692
1e-07, 32768, 1, Classic, 0, 24.534, 0.95924, 2.1553
1e-07, 32768, 1, Classic, 1, 24.534, 0.95924, 2.13046
1e-07, 32768, 1, Classic, 2, 24.534, 0.95924, 2.11725
1e-07, 32768, 1, Classic, 3, 24.534, 0.95924, 2.15237
1e-07, 32768, 1, Classic, 4, 24.534, 0.95924, 2.12984
