epsilon, dim, number_of_threads, algo_type, id_rep, compression_ratio, space_saving, time (s)
1e-10, 32768, 1, Classic, 0, 15.4746, 0.935378, 3.92129
1e-10, 32768, 1, Classic, 1, 15.4746, 0.935378, 3.43011
1e-10, 32768, 1, Classic, 2, 15.4746, 0.935378, 3.35518
1e-10, 32768, 1, Classic, 3, 15.4746, 0.935378, 3.3544
1e-10, 32768, 1, Classic, 4, 15.4746, 0.935378, 4.2463
1e-10, 32768, 1, Classic, 5, 15.4746, 0.935378, 4.80587
1e-10, 32768, 1, Classic, 6, 15.4746, 0.935378, 4.88237
1e-10, 32768, 1, Classic, 7, 15.4746, 0.935378, 4.24904
1e-10, 32768, 1, Classic, 8, 15.4746, 0.935378, 4.09755
1e-10, 32768, 1, Classic, mean, N.A, N.A, 4.03801
1e-10, 32768, 1, Classic, stddev, N.A, N.A, 0.582102
1e-10, 32768, 1, TaskBased, 0, 15.4746, 0.935378, 3.68431
1e-10, 32768, 1, TaskBased, 1, 15.4746, 0.935378, 3.74444
1e-10, 32768, 1, TaskBased, 2, 15.4746, 0.935378, 3.68261
1e-10, 32768, 1, TaskBased, 3, 15.4746, 0.935378, 3.6947
1e-10, 32768, 1, TaskBased, 4, 15.4746, 0.935378, 3.70479
1e-10, 32768, 1, TaskBased, 5, 15.4746, 0.935378, 3.68457
1e-10, 32768, 1, TaskBased, 6, 15.4746, 0.935378, 3.66805
1e-10, 32768, 1, TaskBased, 7, 15.4746, 0.935378, 3.69743
1e-10, 32768, 1, TaskBased, 8, 15.4746, 0.935378, 3.70253
1e-10, 32768, 1, TaskBased, mean, N.A, N.A, 3.69594
1e-10, 32768, 1, TaskBased, stddev, N.A, N.A, 0.0215009
1e-10, 65536, 2, Classic, 0, 27.2031, 0.963239, 6.55295
1e-10, 65536, 2, Classic, 1, 27.2031, 0.963239, 6.63318
1e-10, 65536, 2, Classic, 2, 27.2031, 0.963239, 6.24828
1e-10, 65536, 2, Classic, 3, 27.2031, 0.963239, 6.03438
1e-10, 65536, 2, Classic, 4, 27.2031, 0.963239, 5.92984
1e-10, 65536, 2, Classic, 5, 27.2031, 0.963239, 5.60387
1e-10, 65536, 2, Classic, 6, 27.2031, 0.963239, 5.78363
1e-10, 65536, 2, Classic, 7, 27.2031, 0.963239, 5.89059
1e-10, 65536, 2, Classic, 8, 27.2031, 0.963239, 6.20533
1e-10, 65536, 2, Classic, mean, N.A, N.A, 6.09801
1e-10, 65536, 2, Classic, stddev, N.A, N.A, 0.343847
1e-10, 65536, 2, TaskBased, 0, 27.2031, 0.963239, 6.4074
1e-10, 65536, 2, TaskBased, 1, 27.2031, 0.963239, 6.54824
1e-10, 65536, 2, TaskBased, 2, 27.2031, 0.963239, 6.25421
1e-10, 65536, 2, TaskBased, 3, 27.2031, 0.963239, 6.16285
1e-10, 65536, 2, TaskBased, 4, 27.2031, 0.963239, 5.76846
1e-10, 65536, 2, TaskBased, 5, 27.2031, 0.963239, 6.19371
1e-10, 65536, 2, TaskBased, 6, 27.2031, 0.963239, 5.26668
1e-10, 65536, 2, TaskBased, 7, 27.2031, 0.963239, 5.13167
1e-10, 65536, 2, TaskBased, 8, 27.2031, 0.963239, 5.28543
1e-10, 65536, 2, TaskBased, mean, N.A, N.A, 5.89096
1e-10, 65536, 2, TaskBased, stddev, N.A, N.A, 0.541316
1e-10, 131072, 4, Classic, 0, 48.939, 0.979566, 7.38703
1e-10, 131072, 4, Classic, 1, 48.939, 0.979566, 6.83423
1e-10, 131072, 4, Classic, 2, 48.939, 0.979566, 6.33331
1e-10, 131072, 4, Classic, 3, 48.939, 0.979566, 6.86239
1e-10, 131072, 4, Classic, 4, 48.939, 0.979566, 6.14759
1e-10, 131072, 4, Classic, 5, 48.939, 0.979566, 6.20927
1e-10, 131072, 4, Classic, 6, 48.939, 0.979566, 6.38411
1e-10, 131072, 4, Classic, 7, 48.939, 0.979566, 6.501
1e-10, 131072, 4, Classic, 8, 48.939, 0.979566, 6.54877
1e-10, 131072, 4, Classic, mean, N.A, N.A, 6.57863
1e-10, 131072, 4, Classic, stddev, N.A, N.A, 0.391556
1e-10, 131072, 4, TaskBased, 0, 48.939, 0.979566, 7.80757
1e-10, 131072, 4, TaskBased, 1, 48.939, 0.979566, 7.39637
1e-10, 131072, 4, TaskBased, 2, 48.939, 0.979566, 7.59105
1e-10, 131072, 4, TaskBased, 3, 48.939, 0.979566, 7.42804
1e-10, 131072, 4, TaskBased, 4, 48.939, 0.979566, 7.59588
