epsilon, dim, number_of_threads, algo_type, id_rep, compression_ratio, space_saving, time (s)
1e-10, 524288, 1, Classic, 0, 158.122, 0.993676, 105.888
1e-10, 524288, 1, Classic, 1, 158.122, 0.993676, 88.2415
1e-10, 524288, 1, Classic, 2, 158.122, 0.993676, 88.1544
1e-10, 524288, 1, Classic, 3, 158.122, 0.993676, 88.0133
1e-10, 524288, 1, Classic, 4, 158.122, 0.993676, 87.9981
1e-10, 524288, 1, Classic, 5, 158.122, 0.993676, 87.9681
1e-10, 524288, 1, Classic, 6, 158.122, 0.993676, 87.776
1e-10, 524288, 1, Classic, 7, 158.122, 0.993676, 87.9242
1e-10, 524288, 1, Classic, 8, 158.122, 0.993676, 87.5504
1e-10, 524288, 1, Classic, mean, N.A, N.A, 89.946
1e-10, 524288, 1, Classic, stddev, N.A, N.A, 5.98167
1e-10, 524288, 2, Classic, 0, 158.122, 0.993676, 75.8127
1e-10, 524288, 2, Classic, 1, 158.122, 0.993676, 74.2263
1e-10, 524288, 2, Classic, 2, 158.122, 0.993676, 67.8539
1e-10, 524288, 2, Classic, 3, 158.122, 0.993676, 67.0656
1e-10, 524288, 2, Classic, 4, 158.122, 0.993676, 66.2827
1e-10, 524288, 2, Classic, 5, 158.122, 0.993676, 67.1034
1e-10, 524288, 2, Classic, 6, 158.122, 0.993676, 65.8894
1e-10, 524288, 2, Classic, 7, 158.122, 0.993676, 65.012
1e-10, 524288, 2, Classic, 8, 158.122, 0.993676, 66.7019
1e-10, 524288, 2, Classic, mean, N.A, N.A, 68.4387
1e-10, 524288, 2, Classic, stddev, N.A, N.A, 3.83713
1e-10, 524288, 4, Classic, 0, 158.122, 0.993676, 34.3234
1e-10, 524288, 4, Classic, 1, 158.122, 0.993676, 33.7047
1e-10, 524288, 4, Classic, 2, 158.122, 0.993676, 32.852
1e-10, 524288, 4, Classic, 3, 158.122, 0.993676, 32.1491
1e-10, 524288, 4, Classic, 4, 158.122, 0.993676, 32.7966
1e-10, 524288, 4, Classic, 5, 158.122, 0.993676, 32.2974
1e-10, 524288, 4, Classic, 6, 158.122, 0.993676, 32.1278
1e-10, 524288, 4, Classic, 7, 158.122, 0.993676, 33.3301
1e-10, 524288, 4, Classic, 8, 158.122, 0.993676, 31.9638
1e-10, 524288, 4, Classic, mean, N.A, N.A, 32.8383
1e-10, 524288, 4, Classic, stddev, N.A, N.A, 0.809104
1e-10, 524288, 8, Classic, 0, 158.122, 0.993676, 20.5986
1e-10, 524288, 8, Classic, 1, 158.122, 0.993676, 20.8329
1e-10, 524288, 8, Classic, 2, 158.122, 0.993676, 20.2698
1e-10, 524288, 8, Classic, 3, 158.122, 0.993676, 20.1897
1e-10, 524288, 8, Classic, 4, 158.122, 0.993676, 19.9357
1e-10, 524288, 8, Classic, 5, 158.122, 0.993676, 19.7156
1e-10, 524288, 8, Classic, 6, 158.122, 0.993676, 19.943
1e-10, 524288, 8, Classic, 7, 158.122, 0.993676, 20.5292
1e-10, 524288, 8, Classic, 8, 158.122, 0.993676, 20.1184
1e-10, 524288, 8, Classic, mean, N.A, N.A, 20.237
